EntityName,EntityProperty,EntityPropertyType,ViewModelType,ViewModelProperty,ViewModelPropertyType,MappingStatus,Notes
Contract,PenaltyPercentage,decimal?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CollateralDescription,string?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorName,string?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorContact,string?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Notes,string?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Customer,Customer?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Payments,IReadOnlyCollection<Payment>,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,,,ContractListVM (List),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractListVM (List),CustomerName,string,Derived,Computed/derived property
Contract,TotalAmount,Money,ContractListVM (List),Currency,string,Flattened,Value object Money flattened to Currency
Contract,TotalAmount,Money,ContractListVM (List),OutstandingAmount,decimal,Flattened,Value object Money flattened to OutstandingAmount
Contract,,,ContractListVM (List),CreatedAt,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractListVM (List),StaffName,string?,Derived,Computed/derived property
Contract,ContractNumber,string,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CustomerId,Guid,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TotalAmount,Money,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,StartDate,DateTime,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,EndDate,DateTime?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Status,ContractStatus,ContractInstallmentSummaryVM (Summary),Status,InstallmentStatus,TypeMismatch,Type mismatch: ContractStatus vs InstallmentStatus
Contract,InterestRate,decimal,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,NumberOfInstallments,int,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,ContractType,string?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PrincipalAmount,Money?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TermInMonths,int?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PaymentFrequency,string?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GracePeriodDays,int?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,LateFeePercentage,decimal?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PenaltyPercentage,decimal?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CollateralDescription,string?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorName,string?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorContact,string?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Notes,string?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Customer,Customer?,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Payments,IReadOnlyCollection<Payment>,ContractInstallmentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,,,ContractInstallmentSummaryVM (Summary),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractInstallmentSummaryVM (Summary),InstallmentNumber,int,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractInstallmentSummaryVM (Summary),DueDate,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
Contract,TotalAmount,Money,ContractInstallmentSummaryVM (Summary),Amount,decimal,Flattened,Value object Money flattened to Amount
Contract,TotalAmount,Money,ContractInstallmentSummaryVM (Summary),Currency,string,Flattened,Value object Money flattened to Currency
Contract,ContractNumber,string,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CustomerId,Guid,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TotalAmount,Money,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,StartDate,DateTime,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,EndDate,DateTime?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Status,ContractStatus,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,InterestRate,decimal,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,NumberOfInstallments,int,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,ContractType,string?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PrincipalAmount,Money?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TermInMonths,int?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PaymentFrequency,string?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GracePeriodDays,int?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,LateFeePercentage,decimal?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PenaltyPercentage,decimal?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CollateralDescription,string?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorName,string?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorContact,string?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Notes,string?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Customer,Customer?,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Payments,IReadOnlyCollection<Payment>,ContractPaymentSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,,,ContractPaymentSummaryVM (Summary),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractPaymentSummaryVM (Summary),PaymentDate,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
Contract,TotalAmount,Money,ContractPaymentSummaryVM (Summary),Amount,decimal,Flattened,Value object Money flattened to Amount
Contract,TotalAmount,Money,ContractPaymentSummaryVM (Summary),Currency,string,Flattened,Value object Money flattened to Currency
Contract,,,ContractPaymentSummaryVM (Summary),PaymentMethod,PaymentMethod,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractPaymentSummaryVM (Summary),ReferenceNumber,string?,MissingInEntity,Property exists in ViewModel but not in entity
Contract,ContractNumber,string,CustomerContractSummaryVM (Summary),ContractNumber,string,Matched,
Contract,CustomerId,Guid,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TotalAmount,Money,CustomerContractSummaryVM (Summary),TotalAmount,decimal,Flattened,Value object Money flattened to TotalAmount
Contract,StartDate,DateTime,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,EndDate,DateTime?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Status,ContractStatus,CustomerContractSummaryVM (Summary),Status,ContractStatus,Matched,
Contract,InterestRate,decimal,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,NumberOfInstallments,int,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,ContractType,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PrincipalAmount,Money?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TermInMonths,int?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PaymentFrequency,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GracePeriodDays,int?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,LateFeePercentage,decimal?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,PenaltyPercentage,decimal?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CollateralDescription,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorName,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GuarantorContact,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Notes,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Customer,Customer?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Payments,IReadOnlyCollection<Payment>,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,,,CustomerContractSummaryVM (Summary),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Contract,TotalAmount,Money,CustomerContractSummaryVM (Summary),Currency,string,Flattened,Value object Money flattened to Currency
Customer,FirstName,string,CustomerCreateVM (Create),FirstName,string,Derived,Computed/derived property
Customer,LastName,string,CustomerCreateVM (Create),LastName,string,Derived,Computed/derived property
Customer,NationalId,string,CustomerCreateVM (Create),NationalId,string,Matched,
Customer,Address,Address,CustomerCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerCreateVM (Create),Email,string,Matched,
Customer,DateOfBirth,DateTime?,CustomerCreateVM (Create),DateOfBirth,DateTime?,Matched,
Customer,Gender,string?,CustomerCreateVM (Create),Gender,string?,Matched,
Customer,Occupation,string?,CustomerCreateVM (Create),Occupation,string?,Matched,
Customer,EmployerName,string?,CustomerCreateVM (Create),EmployerName,string?,Derived,Computed/derived property
Customer,MonthlyIncome,decimal?,CustomerCreateVM (Create),MonthlyIncome,decimal?,Matched,
Customer,CreditScore,int?,CustomerCreateVM (Create),CreditScore,int?,Matched,
Customer,SourceOfFunds,string?,CustomerCreateVM (Create),SourceOfFunds,string?,Matched,
Customer,PurposeOfLoan,string?,CustomerCreateVM (Create),PurposeOfLoan,string?,Matched,
Customer,Notes,string?,CustomerCreateVM (Create),Notes,string?,Matched,
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Address,Address,CustomerCreateVM (Create),Street,string,Flattened,Value object Address flattened to Street
Customer,Address,Address,CustomerCreateVM (Create),City,string,Flattened,Value object Address flattened to City
Customer,Address,Address,CustomerCreateVM (Create),State,string,Flattened,Value object Address flattened to State
Customer,Address,Address,CustomerCreateVM (Create),Country,string,Flattened,Value object Address flattened to Country
Customer,,,CustomerCreateVM (Create),Country,string,Derived,Computed/derived property
Customer,Address,Address,CustomerCreateVM (Create),ZipCode,string,Flattened,Value object Address flattened to ZipCode
Customer,Address,Address,CustomerCreateVM (Create),PhoneCountryCode,string,Flattened,Value object Address flattened to PhoneCountryCode
Customer,,,CustomerCreateVM (Create),PhoneCountryCode,string,Derived,Computed/derived property
Customer,Phone,Phone,CustomerCreateVM (Create),PhoneAreaCode,string,Flattened,Value object Phone flattened to PhoneAreaCode
Customer,Phone,Phone,CustomerCreateVM (Create),PhoneNumber,string,Flattened,Value object Phone flattened to PhoneNumber
Customer,,,CustomerCreateVM (Create),PhoneType,string,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerUpdateVM (Update),FirstName,string,Derived,Computed/derived property
Customer,LastName,string,CustomerUpdateVM (Update),LastName,string,Derived,Computed/derived property
Customer,NationalId,string,CustomerUpdateVM (Update),NationalId,string,Matched,
Customer,Address,Address,CustomerUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerUpdateVM (Update),Email,string,Matched,
Customer,DateOfBirth,DateTime?,CustomerUpdateVM (Update),DateOfBirth,DateTime?,Matched,
Customer,Gender,string?,CustomerUpdateVM (Update),Gender,string?,Matched,
Customer,Occupation,string?,CustomerUpdateVM (Update),Occupation,string?,Matched,
Customer,EmployerName,string?,CustomerUpdateVM (Update),EmployerName,string?,Derived,Computed/derived property
Customer,MonthlyIncome,decimal?,CustomerUpdateVM (Update),MonthlyIncome,decimal?,Matched,
Customer,CreditScore,int?,CustomerUpdateVM (Update),CreditScore,int?,Matched,
Customer,SourceOfFunds,string?,CustomerUpdateVM (Update),SourceOfFunds,string?,Matched,
Customer,PurposeOfLoan,string?,CustomerUpdateVM (Update),PurposeOfLoan,string?,Matched,
Customer,Notes,string?,CustomerUpdateVM (Update),Notes,string?,Matched,
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,,,CustomerUpdateVM (Update),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,Address,Address,CustomerUpdateVM (Update),Street,string,Flattened,Value object Address flattened to Street
Customer,Address,Address,CustomerUpdateVM (Update),City,string,Flattened,Value object Address flattened to City
Customer,Address,Address,CustomerUpdateVM (Update),State,string,Flattened,Value object Address flattened to State
Customer,Address,Address,CustomerUpdateVM (Update),Country,string,Flattened,Value object Address flattened to Country
Customer,,,CustomerUpdateVM (Update),Country,string,Derived,Computed/derived property
Customer,Address,Address,CustomerUpdateVM (Update),ZipCode,string,Flattened,Value object Address flattened to ZipCode
Customer,Address,Address,CustomerUpdateVM (Update),PhoneCountryCode,string,Flattened,Value object Address flattened to PhoneCountryCode
Customer,,,CustomerUpdateVM (Update),PhoneCountryCode,string,Derived,Computed/derived property
Customer,Phone,Phone,CustomerUpdateVM (Update),PhoneAreaCode,string,Flattened,Value object Phone flattened to PhoneAreaCode
Customer,Phone,Phone,CustomerUpdateVM (Update),PhoneNumber,string,Flattened,Value object Phone flattened to PhoneNumber
Customer,,,CustomerUpdateVM (Update),PhoneType,string,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerDetailVM (Detail),FirstName,string,Derived,Computed/derived property
Customer,LastName,string,CustomerDetailVM (Detail),LastName,string,Derived,Computed/derived property
Customer,NationalId,string,CustomerDetailVM (Detail),NationalId,string,Matched,
Customer,Address,Address,CustomerDetailVM (Detail),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerDetailVM (Detail),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerDetailVM (Detail),Email,string?,Matched,
Customer,DateOfBirth,DateTime?,CustomerDetailVM (Detail),DateOfBirth,DateTime?,Matched,
Customer,Gender,string?,CustomerDetailVM (Detail),Gender,string?,Matched,
Customer,Occupation,string?,CustomerDetailVM (Detail),Occupation,string?,Matched,
Customer,EmployerName,string?,CustomerDetailVM (Detail),EmployerName,string?,Derived,Computed/derived property
Customer,MonthlyIncome,decimal?,CustomerDetailVM (Detail),MonthlyIncome,decimal?,Matched,
Customer,CreditScore,int?,CustomerDetailVM (Detail),CreditScore,int?,Matched,
Customer,SourceOfFunds,string?,CustomerDetailVM (Detail),SourceOfFunds,string?,Matched,
Customer,PurposeOfLoan,string?,CustomerDetailVM (Detail),PurposeOfLoan,string?,Matched,
Customer,Notes,string?,CustomerDetailVM (Detail),Notes,string?,Matched,
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerDetailVM (Detail),Contracts,IReadOnlyList<CustomerContractSummaryVM>,TypeMismatch,Type mismatch: IReadOnlyCollection<Contract> vs IReadOnlyList<CustomerContractSummaryVM>
Customer,,,CustomerDetailVM (Detail),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerDetailVM (Detail),FullName,string,Derived,Computed/derived property
Customer,Address,Address,CustomerDetailVM (Detail),Street,string?,Flattened,Value object Address flattened to Street
Customer,Address,Address,CustomerDetailVM (Detail),City,string?,Flattened,Value object Address flattened to City
Customer,Address,Address,CustomerDetailVM (Detail),State,string?,Flattened,Value object Address flattened to State
Customer,Address,Address,CustomerDetailVM (Detail),Country,string?,Flattened,Value object Address flattened to Country
Customer,,,CustomerDetailVM (Detail),Country,string?,Derived,Computed/derived property
Customer,Address,Address,CustomerDetailVM (Detail),ZipCode,string?,Flattened,Value object Address flattened to ZipCode
Customer,Address,Address,CustomerDetailVM (Detail),PhoneCountryCode,string?,Flattened,Value object Address flattened to PhoneCountryCode
Customer,,,CustomerDetailVM (Detail),PhoneCountryCode,string?,Derived,Computed/derived property
Customer,Phone,Phone,CustomerDetailVM (Detail),PhoneAreaCode,string?,Flattened,Value object Phone flattened to PhoneAreaCode
Customer,Phone,Phone,CustomerDetailVM (Detail),PhoneNumber,string?,Flattened,Value object Phone flattened to PhoneNumber
